,Postal Code,Travel,Outdoors,Food,Arts,Shops,Residence,Professional,Distance_to_Downtown [Km],Ratio_commuting,Ratio_renting,Average_income,Population_density,Population_change
0,M3A,4,7,5,1,7,7,11,11.225608218723382,0.14,0.22499981155542156,34811.0,5349.395161290323,-0.03698461091753775
1,M4A,3,2,4,1,10,4,7,9.149625486659033,0.1559998826773039,0.2339995307092157,29657.0,3611.6525423728817,0.02495189995189995
2,M5A,3,3,10,3,15,1,10,2.042771787447658,0.16,0.3125800848313472,48373.662007675215,9862.549800796813,0.33270524899057874
3,M6A,0,1,4,1,32,0,3,9.097720765442098,0.15706375934699468,0.21670129573605798,34963.894799931506,3280.7116104868915,0.08942229960823332
4,M9A,8,8,6,2,8,3,9,11.82734853034391,0.12,0.17799972324084964,80618.0,2651.926605504587,-0.0009677196377963641
5,M1B,1,2,7,0,11,0,12,22.276775124952113,0.13599990975543724,0.08199981951087447,25677.0,5002.708803611738,0.014999198516109827
6,M3B,0,7,2,0,5,1,18,9.858077527318555,0.10799971925884334,0.18599990641961445,47515.0,2377.3081201334817,0.11895287958115183
7,M5B,1,2,14,2,4,0,8,0.5798814854304765,0.17,0.355,37614.0,15846.153846153846,0.16995598466562545
8,M9B,1,4,7,1,7,3,11,13.635036161951595,0.12773243681891955,0.14636216090888013,54674.71319267331,2936.867704280156,0.024535088910004072
9,M1C,2,2,5,4,16,1,6,22.63249168191393,0.11341458733205374,0.03950397587057856,38342.66125582671,2532.638888888889,-0.0034974588775342915
10,M3C,0,1,13,0,14,0,16,8.087027601571792,0.10799971925884334,0.18599990641961445,47515.0,2377.3081201334817,0.11895287958115183
11,M5C,2,2,14,0,9,4,14,1.227444777417884,0.27399972726033,0.461999863630165,22341.0,63765.217391304344,-0.09996931574102486
12,M9C,3,2,5,1,12,0,7,15.505658294382542,0.092,0.097,51695.0,3506.849315068493,0.009961534668113226
13,M1E,3,3,9,0,15,3,10,19.430492269102807,0.13898545789600192,0.12634804903453248,31057.749379056164,2912.7187864644106,-0.025797135386176482
14,M4E,0,7,5,0,13,2,8,7.554124606283819,0.13799960815047022,0.16199990203761755,67536.0,5718.767507002802,0.0779872221342204
15,M1G,1,1,5,1,14,2,10,18.204855839223384,0.13299997938441874,0.16,26190.0,3636.206896551724,-0.014986293024672555
16,M4G,1,1,15,0,22,0,4,5.67952825043357,0.09699985586624388,0.105,82670.0,4938.078291814946,0.02998812351543943
17,M6G,2,2,11,2,14,1,7,3.193819143828973,0.18799960967993756,0.15299960967993756,30556.0,8006.25,-0.04987947339143334
18,M3H,1,2,14,0,10,1,14,11.409728716411406,0.14597098720228754,0.1831268961188409,35992.94211388918,3247.678369195923,0.07063655030800821
19,M4H,1,3,13,0,17,1,8,5.753039158249748,0.16699983285976935,0.3249997214329489,25340.0,5808.737864077671,0.09099197665937273
20,M6H,1,6,11,2,13,1,5,4.7000012310691135,0.238,0.284,27961.0,9974.747474747475,-0.07093799981183554
21,M1J,0,4,6,1,16,3,9,14.934786507921235,0.1619998437011566,0.22,24413.0,6303.44827586207,-0.08996515183841831
22,M2J,2,0,2,2,32,0,6,13.478397106324461,0.156,0.159,56395.0,3065.934065934066,-0.05997304582210242
23,M3J,1,0,4,1,11,1,11,14.498221924465032,0.152,0.204,24432.0,1978.8039364118092,-0.011981706164720113
24,M5J,5,1,13,1,8,7,10,2.1714433822435284,0.18299840510366827,0.055996810207336524,43344.0,197.79179810725552,-0.05
25,M6J,0,0,21,0,17,1,1,3.114615523445237,0.17297372262773722,0.18366058394160584,30417.35284671533,9716.312056737588,-0.05738268886748314
